product_id,product_name,description,category,brand,price,discount,stock_quantity,sku,barcode,weight_kg,dimensions_cm,color,material,origin_country,is_active,created_at,updated_at
19,Tough Detail,Several save as difference pattern realize language notice.,Electronics,Brooks Inc,262.17,1.29,895,SKU00019,5389066698259,29.74,26x65x88,Red,Leather,Somalia,True,2024-12-03 02:37:18,2021-08-06 20:33:45
20,Near Improve,Image kind politics it however option movement design wide between use think.,Electronics,Miller-Parker,4742.86,16.82,814,SKU00020,9360876590830,5.17,95x13x82,Yellow,Plastic,Mexico,True,2022-05-20 08:07:46,2021-07-24 06:11:00
21,Management Modern,Skill present deep official above soldier Democrat low morning.,Electronics,Williams-Thomas,4678.8,12.98,117,SKU00021,0361579859445,23.73,62x69x98,Blue,Leather,Kyrgyz Republic,True,2021-03-14 22:43:57,2022-02-26 00:38:03
22,Across Commercial,Statement officer knowledge sort would somebody officer official child.,Furniture,Meyer-Wagner,4289.69,21.9,432,SKU00022,6864442910556,25.62,15x85x69,Red,Leather,Guinea,True,2022-06-29 11:25:45,2024-05-04 04:58:25
23,Sense Moment,Citizen education consumer full his water fear book.,Electronics,"Lutz, Martin and Guzman",3672.97,29.84,917,SKU00023,8159711865285,18.65,46x76x94,White,Leather,Ukraine,False,2024-03-30 04:41:12,2020-04-20 14:51:08
24,Themselves National,Guess offer contain above full foot mention politics describe car.,Clothing,Espinoza-Watson,1286.66,20.8,156,SKU00024,0874967070884,30.29,51x99x41,Green,Leather,Poland,False,2023-11-17 22:23:59,2024-07-19 01:02:43
25,Control Audience,Edge help response choice cost notice spring money compare some happen.,Electronics,"Campbell, Barrett and Romero",139.09,4.29,758,SKU00025,6984110884245,34.11,31x88x22,Blue,Plastic,Marshall Islands,False,2021-02-20 06:01:56,2023-01-16 15:02:51
26,Give Pass,Live school who memory over something most history.,Toys,Mcgee-Taylor,2471.13,3.77,989,SKU00026,6860939054574,13.11,22x10x27,Yellow,Wood,Namibia,False,2020-02-20 02:13:33,2024-08-05 02:06:25
27,Back Card,Moment current traditional end offer rise something activity night executive one.,Furniture,Clark-Rivera,4928.2,2.85,812,SKU00027,0369521006589,24.8,85x37x46,Blue,Plastic,Ukraine,True,2022-10-26 22:48:41,2023-05-02 23:00:26
28,Company Season,Per visit from industry west town born society small.,Clothing,Hernandez-Burke,4016.34,23.08,980,SKU00028,3358899466733,13.81,54x76x50,Red,Wood,Antarctica (the territory South of 60 deg S),True,2020-12-21 18:39:20,2024-05-08 15:19:38
29,Side Tough,Head little option style approach officer country accept carry already whom of.,Grocery,Carr-Perez,265.36,22.72,549,SKU00029,0548410985086,13.58,25x38x10,Yellow,Wood,Uzbekistan,True,2022-01-13 01:58:36,2021-10-17 18:51:08
30,Offer Fear,Might why agent hospital must wrong happy character.,Clothing,Contreras LLC,3277.93,0.23,694,SKU00030,0110833499275,13.41,88x95x27,Green,Wood,Barbados,True,2025-03-09 11:01:34,2023-07-11 22:33:24
31,Per Doctor,Sport especially summer degree score direction time those single professor rest.,Furniture,Hammond and Sons,2537.37,26.15,624,SKU00031,8942907490176,29.71,57x41x93,Yellow,Plastic,Macedonia,False,2024-02-01 20:04:28,2020-02-09 14:40:26
32,Tax Project,High half view result successful right address beat.,Electronics,Berg-Lucas,247.22,18.2,337,SKU00032,2960180021074,8.68,56x34x79,White,Metal,Tokelau,True,2023-07-30 04:01:00,2022-05-11 17:18:48
33,Apply Out,Significant candidate sell claim try movie improve his everything bill charge station nation.,Toys,"Marsh, Sanchez and Rowe",2761.19,25.73,194,SKU00033,9435985906701,22.75,74x89x62,White,Leather,Croatia,False,2021-03-07 08:48:31,2023-11-19 22:17:12
34,Often History,On few miss prove sound fund no half.,Clothing,Jones and Sons,1889.57,23.14,17,SKU00034,2547974077129,21.0,28x66x34,Yellow,Cotton,Poland,True,2025-04-03 16:14:51,2024-03-18 15:44:18
35,Certainly How,Evidence leader better drive interview street personal without rock anyone fly for within.,Toys,Franklin and Sons,4356.23,5.65,766,SKU00035,9954796075913,24.77,55x25x24,Yellow,Cotton,United Arab Emirates,False,2020-06-07 22:17:43,2022-06-30 10:12:01
36,Various Less,Why step long start person information.,Grocery,Lewis-Jenkins,4153.72,22.1,658,SKU00036,4327838140330,37.47,37x13x94,Blue,Leather,Ecuador,True,2024-01-25 11:44:06,2021-04-11 10:23:58
37,Card Answer,Evidence defense red nor customer break specific happen sit marriage under difference.,Clothing,"Brown, Pacheco and Meyer",4564.32,22.47,101,SKU00037,2692083491585,49.8,37x27x55,Green,Leather,Netherlands Antilles,False,2020-08-02 09:16:55,2023-08-10 03:46:45
38,He Own,Paper situation style enter relationship left report to.,Clothing,Jackson Ltd,2738.54,12.73,475,SKU00038,7916862390612,6.09,82x45x37,Green,Wood,Senegal,False,2023-10-04 06:52:47,2021-07-29 23:49:22
39,Growth Per,Prove argue plant face hold no.,Books,Huff PLC,2617.87,15.0,661,SKU00039,9599888341516,25.74,69x30x59,Green,Cotton,Guadeloupe,True,2024-03-12 16:37:49,2021-02-04 09:19:23
40,Decide Matter,Hundred step dinner produce girl stop agreement nearly spring difficult stock.,Electronics,Spears-Guerrero,2131.03,2.57,817,SKU00040,4885174150197,13.98,8x8x68,Yellow,Cotton,Indonesia,False,2020-04-21 07:02:28,2023-05-25 04:06:35
41,Everyone Miss,Shake color once above subject yes career huge billion very.,Books,Cooke Ltd,2411.57,13.35,761,SKU00041,1564548700581,36.68,65x79x28,White,Plastic,Belgium,False,2025-01-10 04:41:47,2020-10-18 08:49:28
42,Rather Already,Play few enough fast first east talk.,Furniture,Young LLC,1608.52,2.0,99,SKU00042,2460112507008,8.35,82x63x85,Blue,Cotton,Palau,False,2020-11-17 13:14:46,2023-01-15 22:08:32
43,Five Against,Deep stuff I full big order down of election action.,Grocery,"Saunders, Watson and Thomas",4314.55,29.46,500,SKU00043,4296577640756,39.15,37x67x48,Yellow,Leather,Austria,True,2022-06-30 18:44:33,2023-11-12 19:47:49
44,Late Book,Various thank look police newspaper exist next most face soon such owner down.,Electronics,Ball-Pace,1867.77,15.32,403,SKU00044,1397065452349,40.68,88x81x17,Green,Metal,Saint Barthelemy,True,2022-10-05 10:34:51,2021-05-15 11:34:09
45,All Environment,Actually possible middle great artist general explain body long and current leader admit.,Furniture,"Blake, Walker and Harding",412.87,10.2,45,SKU00045,9559724959206,1.45,65x14x78,White,Plastic,Guatemala,True,2025-05-05 15:56:15,2023-01-08 06:38:01
46,Fall Move,Relationship different wind chair outside use during.,Toys,Acevedo-Frazier,2385.62,4.06,264,SKU00046,1158691999406,4.14,50x21x64,Green,Plastic,Pakistan,False,2024-07-25 15:29:34,2022-03-11 07:03:59
47,Play Bar,Inside crime mother science make too black.,Electronics,Pennington-Malone,4420.81,18.73,112,SKU00047,7443896976920,15.39,44x79x51,Blue,Plastic,Martinique,False,2021-10-26 12:24:10,2020-10-21 05:26:31
48,Want War,Memory from region meeting lawyer resource alone.,Grocery,"Thompson, Oneill and Cox",2082.55,6.42,427,SKU00048,7307055892073,42.75,67x60x90,Black,Cotton,Brazil,True,2023-08-29 23:48:05,2021-11-19 19:12:08
49,Use Mother,Hold much even begin land what various relationship role every family store.,Grocery,Bennett PLC,4067.91,22.86,643,SKU00049,3900827540871,38.57,39x14x22,Black,Wood,Poland,False,2021-05-13 05:35:19,2021-06-23 08:11:43
50,Message Production,Between feel interview them them film avoid.,Clothing,"Bradley, Wright and Smith",4019.51,13.5,251,SKU00050,2187473394060,8.2,21x95x48,Blue,Cotton,Singapore,True,2021-12-29 08:36:12,2021-02-02 03:54:56
51,Set Control,President cause American unit player environmental possible.,Electronics,Johnson-Edwards,2729.76,18.14,746,SKU00051,5769151554576,15.97,16x89x45,Blue,Wood,El Salvador,False,2020-05-19 21:55:26,2023-03-03 14:02:49
52,Plan Best,Talk our impact form ten rather contain relate eat interesting collection.,Toys,Calhoun-Cruz,3595.34,3.5,387,SKU00052,4522201818537,16.17,46x44x47,Red,Metal,Monaco,False,2023-09-20 04:22:58,2021-10-17 23:30:21
53,Recent Officer,Important almost free wrong employee develop baby staff medical son product body.,Toys,"Gomez, Martin and Reyes",1014.11,25.44,162,SKU00053,1986720206375,23.81,35x15x96,White,Wood,Benin,True,2022-04-23 22:19:29,2023-02-14 18:06:05
54,Answer Watch,Black discuss decision travel today seven lose amount thousand car article officer clearly practice.,Electronics,Singleton-Howe,1956.38,2.68,474,SKU00054,2743791236088,24.28,23x95x23,Red,Plastic,Fiji,True,2021-04-24 03:56:54,2021-10-18 14:33:47
55,Republican Do,Easy base we see care control not health read.,Toys,Mitchell Group,686.71,12.12,913,SKU00055,4945861596322,4.79,15x78x79,Red,Metal,British Virgin Islands,False,2024-09-12 20:13:18,2024-12-27 13:44:12
56,Memory Mrs,For popular summer purpose both student want spring stop significant sister whole generation.,Grocery,"Miller, Buckley and Choi",4520.29,15.93,719,SKU00056,5502170049513,13.41,48x85x27,Yellow,Cotton,Cayman Islands,False,2020-05-17 10:34:21,2023-06-25 00:50:47
57,Parent Ready,Common value simple maintain health difficult red else she chance maybe son.,Furniture,Elliott and Sons,4588.87,24.75,87,SKU00057,9445565944894,10.65,71x50x91,Yellow,Cotton,Jersey,True,2022-09-24 15:42:37,2023-04-12 10:07:30
58,Wish Any,Authority bag finally door election at house year.,Clothing,Lawson and Sons,2630.12,23.91,309,SKU00058,9495454304803,22.99,12x22x49,Blue,Cotton,Timor-Leste,True,2020-08-11 10:05:24,2022-04-28 17:24:10
59,Tree Partner,Discussion various take with bar society man.,Furniture,Hill-Powell,419.38,27.47,450,SKU00059,7168721950417,21.77,51x33x20,Green,Metal,Canada,True,2023-10-01 06:18:44,2021-11-02 10:19:33
60,Those Woman,During wall even country inside unit floor just I.,Furniture,Mejia-Petersen,3122.99,9.43,508,SKU00060,9627696532472,43.03,80x86x66,White,Wood,Somalia,False,2020-12-17 21:42:47,2024-01-14 12:45:31
61,Case Probably,Talk throughout administration ok size sort grow your writer performance wait believe never have.,Electronics,Parker Ltd,3152.6,18.65,184,SKU00061,0257400174064,13.65,69x75x95,Red,Wood,Romania,False,2021-09-16 21:13:25,2023-02-14 23:12:27
62,Event Assume,President claim class three weight for assume full company five learn.,Furniture,"Miller, Williams and Perez",637.44,13.66,541,SKU00062,7732848892921,28.12,77x74x99,Yellow,Cotton,Saudi Arabia,False,2025-03-03 13:03:19,2022-01-11 13:47:28
63,Visit Floor,Almost try say carry carry option fact nice interesting.,Clothing,Walls-Sanders,3080.23,10.14,338,SKU00063,5375420579203,49.59,23x71x97,Yellow,Plastic,United States of America,False,2021-08-31 18:24:26,2024-06-17 09:14:37
64,Miss Bill,Quite heavy land sea yourself stuff suffer respond story western necessary like.,Furniture,Mitchell Inc,106.85,16.86,19,SKU00064,8929104151253,42.63,19x12x46,Green,Metal,New Zealand,True,2021-08-11 02:21:28,2023-06-03 11:31:09
65,Just Yourself,Blue bring society remember before contain car result reflect rise religious run compare.,Toys,Clark-Lopez,334.8,6.89,181,SKU00065,6526071135969,44.75,51x54x88,White,Leather,Venezuela,False,2023-08-18 13:06:26,2020-03-31 00:14:23
66,Whatever Pm,Class learn successful born once teacher option girl.,Grocery,Turner-Johnson,1128.03,21.59,610,SKU00066,5539156853215,36.87,77x5x62,Yellow,Plastic,Paraguay,False,2021-10-31 21:02:16,2021-01-10 16:26:29
67,Medical Market,Low doctor window central Mrs just fine.,Furniture,Hunter-Dodson,3899.68,1.9,651,SKU00067,4132867228993,6.55,45x40x42,Black,Wood,Saint Vincent and the Grenadines,False,2020-05-22 08:05:21,2021-06-17 05:06:48
68,Size Reveal,Among budget guess down stock guess position positive bank somebody president page something.,Grocery,Mayer PLC,1715.49,7.99,890,SKU00068,5226918641516,15.29,73x47x56,Yellow,Wood,Cape Verde,False,2023-05-13 13:13:17,2024-03-30 22:08:57
69,For Upon,Feeling hot religious main work detail rich evening.,Clothing,Crane Group,4650.41,0.43,860,SKU00069,4245968758792,45.47,64x43x56,Black,Metal,Syrian Arab Republic,True,2023-01-20 06:14:09,2021-07-12 06:23:32
70,Government Use,Important tonight event rate cold short campaign.,Grocery,Bond-Callahan,1032.77,29.79,639,SKU00070,8296513419480,47.05,29x14x39,White,Leather,Cuba,True,2021-08-16 21:00:00,2020-02-07 21:29:16
71,American Deep,Everyone consumer nor international present customer go his may radio heavy.,Books,Wright-Anderson,4288.31,19.84,124,SKU00071,4883534357958,24.11,36x60x28,Red,Plastic,Mozambique,True,2025-03-12 22:49:24,2023-04-10 01:51:43
72,Word Any,Yes friend piece attorney family machine seek go that.,Toys,"Carlson, Gonzales and Mendez",3712.49,2.7,764,SKU00072,0546837336849,36.16,80x22x23,White,Metal,Lithuania,False,2023-04-23 13:22:23,2021-10-20 12:46:52
73,Wife Score,Receive interest effort fact total forward money name more friend less full.,Clothing,White PLC,589.37,11.3,128,SKU00073,0876441139445,16.85,71x31x82,Blue,Leather,Guinea-Bissau,False,2024-09-14 15:11:16,2020-06-07 10:41:04
74,Single Respond,We situation morning specific crime contain happen most we.,Books,Martin Group,1506.2,4.21,859,SKU00074,0676505163948,49.61,100x29x96,Blue,Metal,Falkland Islands (Malvinas),False,2023-10-29 11:06:27,2023-10-18 06:45:04
75,Scientist Anyone,Add painting season fill detail condition agreement include company letter value care.,Clothing,"Lawson, Olson and Smith",3983.1,9.74,456,SKU00075,1583099541832,49.36,48x74x17,Red,Cotton,Rwanda,True,2022-01-20 11:47:22,2024-12-16 07:58:42
76,State Across,Almost bank five before always such success include million catch.,Electronics,Carter PLC,1024.2,13.06,254,SKU00076,3678927196686,40.14,59x80x20,Green,Plastic,Netherlands Antilles,False,2024-06-16 14:24:21,2023-05-12 18:58:29
77,Black Deal,Best cell drop why effect feeling page mind morning.,Books,"Ellison, Knight and Hayes",2516.63,7.35,892,SKU00077,3234674724963,35.76,49x47x26,Red,Leather,Saint Martin,False,2020-05-18 13:11:33,2022-11-19 05:22:11
78,Picture True,Camera statement should best you nothing kind.,Grocery,"Harris, Woods and Trevino",130.46,24.35,640,SKU00078,0743510033105,8.07,23x99x76,White,Wood,Wallis and Futuna,False,2025-04-05 09:57:06,2020-02-11 22:35:50
79,Push Think,Effort age billion thank respond military certainly scene.,Toys,"Lopez, Page and Martin",431.27,11.69,998,SKU00079,2568532892060,13.66,41x8x56,Red,Cotton,Italy,True,2021-11-08 12:20:50,2021-08-20 07:33:22
80,Commercial Right,Record huge newspaper partner house operation energy near.,Furniture,"Martinez, Simpson and Logan",4053.36,9.02,304,SKU00080,2033345430674,30.38,67x61x5,White,Wood,Chile,True,2024-12-09 07:42:49,2021-09-26 09:54:51
81,Act Evening,Country break best sure lead final table gun bill walk majority firm audience.,Grocery,"Morton, Mcgrath and Raymond",4056.77,8.96,182,SKU00081,7552562138620,47.6,25x15x58,White,Cotton,Greece,True,2023-08-10 20:59:18,2020-05-20 16:16:03
82,Mean Moment,Star second station organization future throughout several success test picture something just Mr.,Grocery,"Rush, Freeman and Curtis",4124.84,10.19,708,SKU00082,9393935445895,46.65,51x80x26,Red,Plastic,Nigeria,True,2020-06-06 05:27:05,2020-01-22 20:05:09
83,Level Drive,Pretty shake way sort west discuss.,Electronics,"Leach, Ford and Smith",1090.9,29.69,734,SKU00083,7700621987126,48.52,88x29x8,Black,Wood,Burundi,False,2022-11-25 12:50:26,2024-12-02 21:07:05
84,Measure Deal,Themselves parent base simple enjoy nor girl that remember claim day data sometimes.,Clothing,Johnson-Williamson,2990.57,13.29,531,SKU00084,6317518976746,37.5,9x44x62,Black,Metal,American Samoa,False,2022-10-30 04:49:35,2021-10-26 02:25:24
85,Economic Memory,Serve eye population after strong team seven structure step three.,Electronics,"Williams, Clark and Simpson",2656.52,17.88,405,SKU00085,0896226983933,49.55,48x32x77,Green,Wood,Panama,True,2024-12-09 14:08:34,2022-07-20 09:10:19
86,Network Republican,Entire hand during put term respond.,Furniture,"Butler, Owens and Barr",3659.06,8.43,828,SKU00086,8785622367916,48.51,20x50x99,Black,Metal,Canada,False,2021-03-03 22:05:10,2020-06-25 13:20:25
87,Yard Community,Think finish media economic sister face.,Clothing,Alvarado-Anderson,3582.59,18.69,171,SKU00087,2207475127784,43.27,8x90x14,Blue,Cotton,Turkmenistan,False,2020-10-20 10:38:24,2021-05-26 05:17:49
88,Mention Dark,Their necessary position plant building seat during teach large head top.,Electronics,"Blair, Adams and Gutierrez",476.67,17.08,548,SKU00088,0258154579235,3.46,46x100x62,White,Leather,Guernsey,True,2023-03-03 04:14:17,2024-05-18 20:01:25
89,Prove Financial,Will against say main he save daughter table finally drop statement.,Furniture,Erickson Ltd,4071.48,4.79,620,SKU00089,5175149327051,29.46,11x61x38,Blue,Leather,Hong Kong,True,2023-06-18 09:12:54,2022-02-15 03:46:13
90,Practice Quickly,Street government current value everyone environment also.,Grocery,Richardson LLC,459.01,19.46,608,SKU00090,7452490690095,9.49,68x89x30,White,Wood,Argentina,True,2020-02-09 18:03:53,2025-05-02 23:52:13
91,Important Possible,Argue quickly same everybody simple heavy listen discussion.,Furniture,"Bradley, Pearson and Obrien",1926.24,16.36,809,SKU00091,3098132727107,0.14,84x47x88,Green,Leather,Dominica,True,2023-09-13 11:41:58,2023-05-16 02:13:13
92,Forward Add,Good surface week throw federal computer better generation.,Books,"Brown, Martin and Bates",1588.58,17.22,362,SKU00092,5843989515418,3.64,40x49x17,Green,Leather,Comoros,True,2023-09-11 23:19:40,2020-03-30 07:38:26
93,Prevent Difficult,Success system interview give behavior week both model seem.,Clothing,Kaufman-Blevins,287.93,0.43,657,SKU00093,2301296992320,29.89,56x6x60,Blue,Cotton,Germany,False,2020-04-14 18:07:36,2023-09-09 17:44:42
94,Final Blue,Fire visit include race early civil series material who suddenly institution.,Clothing,"Schneider, Edwards and Everett",4082.42,5.27,586,SKU00094,5017932481659,22.77,13x87x6,Yellow,Plastic,Liberia,True,2021-12-29 22:14:31,2021-12-31 12:39:09
95,Thousand Right,Will ask but much senior campaign wear everybody officer.,Furniture,Stone-Henderson,2027.63,17.93,751,SKU00095,6972931590063,11.07,75x18x8,Red,Cotton,Lithuania,False,2020-11-13 11:17:01,2023-11-07 20:15:12
96,Firm Just,Experience number positive final against consider who up should green doctor front science.,Clothing,Crawford-Bowman,938.68,11.41,686,SKU00096,6222187592602,16.01,58x71x30,White,Wood,Italy,True,2022-08-15 15:58:33,2022-09-27 01:13:17
97,Number Make,Second all study week million effect tonight management something.,Toys,"Jones, Boyd and Allen",258.01,14.77,997,SKU00097,4219182961993,31.55,30x48x63,Yellow,Metal,Canada,True,2023-05-02 07:05:20,2024-02-20 17:25:53
98,Campaign President,Person radio building city new health can nice.,Furniture,Campbell-Nelson,274.83,3.58,775,SKU00098,1010268787697,16.24,98x44x23,Blue,Leather,Uruguay,False,2021-06-26 20:16:04,2023-05-18 23:32:05
99,Difference Number,Per recent large behind sort part.,Clothing,Hanson-Warren,370.8,11.48,826,SKU00099,0448092096493,5.61,77x68x25,Black,Metal,Guinea,False,2020-08-06 21:46:14,2020-01-26 21:05:41
100,Clearly Cold,Resource night have his much reduce up through identify network process.,Grocery,Smith Ltd,730.81,18.96,904,SKU00100,8399861220330,31.18,51x10x87,White,Leather,Bhutan,True,2022-05-13 07:28:53,2020-09-05 01:54:19
101,Way Money,Plan seven know later nearly surface ago have home view manager table entire.,Furniture,Yang-Hernandez,2613.77,14.59,585,SKU00101,7652646378864,36.47,74x19x24,Blue,Wood,Bahrain,True,2020-10-30 05:25:08,2022-11-17 15:05:59
102,Television Attack,Activity not garden heart know official guess long edge.,Clothing,Brown LLC,657.57,18.58,652,SKU00102,7294329962214,49.79,84x28x74,Black,Wood,Liberia,True,2025-04-29 08:51:57,2022-02-13 20:00:05
103,Traditional His,Focus parent account own two hotel since.,Clothing,Copeland Inc,774.8,15.45,732,SKU00103,1232203099164,22.29,83x39x58,Red,Metal,Norway,False,2021-11-19 21:38:03,2021-06-21 06:18:20
104,Matter Close,Street activity imagine important then modern raise small.,Furniture,Green-Bolton,1752.41,3.15,859,SKU00104,8172269178997,13.48,52x42x12,Green,Plastic,Chad,False,2022-10-03 04:32:37,2023-12-18 11:38:06
105,Strategy Allow,Police both seven pay family way seek.,Clothing,Bruce Inc,1054.33,10.22,246,SKU00105,2482473321291,48.97,30x29x92,Black,Plastic,Korea,False,2022-11-04 06:19:51,2024-09-17 07:10:07
106,Bit System,Owner eight than about anyone then mind standard.,Toys,Oliver Ltd,927.54,28.84,925,SKU00106,3944923019060,19.59,73x90x10,White,Cotton,Denmark,True,2022-08-17 04:38:52,2020-11-26 16:25:55
107,Natural State,Use measure turn whose employee sound pressure fish technology contain.,Clothing,"Cameron, Moore and Curry",4042.16,6.03,307,SKU00107,4538707147316,36.85,18x69x59,Yellow,Leather,Malawi,False,2023-07-18 01:59:26,2024-08-13 19:08:04
108,Fill Could,Usually grow maybe control pull market soon.,Furniture,Carter-Allen,822.28,3.66,749,SKU00108,6423185012806,42.36,99x42x27,Black,Wood,Swaziland,True,2021-02-16 21:34:54,2022-01-09 00:37:28
109,Structure Door,Happy anything structure once page mission protect financial race serve.,Books,"Hansen, Orr and Kelly",2943.29,7.22,489,SKU00109,6258703218541,40.06,50x59x39,Green,Plastic,Serbia,True,2021-07-06 13:32:29,2021-08-23 02:49:17
110,Break Military,Serious together billion figure choice lot.,Grocery,"Santiago, Jenkins and Smith",4103.88,10.54,132,SKU00110,0833588363690,3.23,63x56x66,Green,Leather,Tanzania,False,2023-02-24 01:31:35,2020-05-17 08:53:46
111,Say Range,Plan drop own administration picture tree run authority.,Grocery,"Pearson, Washington and Gibson",790.7,1.37,706,SKU00111,2148336899245,40.02,64x80x27,Red,Plastic,Belize,False,2023-08-11 14:19:00,2023-05-15 21:40:04
112,Have Sea,Travel situation catch degree employee character source particularly public apply possible she statement.,Furniture,Hernandez PLC,1530.2,3.22,964,SKU00112,0994184356247,31.38,79x42x74,Red,Leather,Cape Verde,True,2020-08-20 08:34:30,2024-09-28 19:20:10
113,Kid Edge,Establish material car low both there.,Grocery,Kent Ltd,4932.33,12.37,376,SKU00113,9855941208562,11.44,36x25x88,Yellow,Plastic,Tuvalu,True,2024-01-28 14:40:25,2021-05-05 19:03:18
114,Life Stuff,Suddenly drop heavy dinner country two note draw whole student resource her trade with.,Books,Sanders-Robinson,3065.74,8.88,497,SKU00114,2937391406273,25.59,60x24x81,White,Metal,Bhutan,False,2023-09-12 03:45:39,2023-09-03 03:29:03
115,Guy Here,Play reflect piece member event old because yeah must.,Furniture,"Adkins, Baldwin and Barnett",3827.98,26.02,342,SKU00115,0619498746613,7.58,70x45x82,Blue,Plastic,Norfolk Island,True,2023-02-09 19:21:48,2022-11-02 22:51:35
116,Value International,Than much amount chair measure weight animal deep present.,Toys,Peterson-Griffin,3448.36,15.69,714,SKU00116,0529491130749,46.12,68x41x47,White,Plastic,Congo,True,2021-11-06 13:21:01,2021-11-04 07:39:58
117,Surface Discover,Physical already necessary fight east poor close everybody.,Electronics,Cross-Hoffman,3206.07,12.12,524,SKU00117,7455430259161,35.56,33x80x48,Green,Plastic,Chad,False,2023-03-03 17:28:24,2020-02-28 00:18:35
